poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31*,J32*
G,Pelé,,,,OM,6,5,7,3,6,5,6,6,6,6,5,4,6,3,5,6,7,7,6,4,4,7,4,6,6,6,3,6,8,7,6,7
G,Samba,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Sparagna,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Doria,,,,OM,6,3,6,5,6,,6,5,5,6,6,3,,,,,<,,,<,3,<,3,5,,<,,<,,<,:1,:1
D,Aloé,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Andonian,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Tuiloma,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Rekik,,,,OM,4,3,6,3,,6,,,,<,,,5,3,,,,,5,2,,,,,,,,,,,,
D,Rolando,,,,OM,,,,,,,,<,,7,6,3,7,4,6,6,6,6,5,3,3,7,5,6,3,5,2,7,6,6,5:4,5:4
D,Sakai,,,,OM,5,2,6,4,6,Bl.,6,6,4,5,,5,4,5,5,7,6,7,6,3,2,5,3,6,4,,3,6,6,6,5,5
D,Hubocan,,,,OM,5,2,7,4,6,2,<,,<,,,,,,5,6,5,6,,,,,,,,,,,,,,
D,Fanni,,,,OM,,,,,,,6,6,5,6,5,4,5,3,5,6,7,6,4,3,3,6,5,6,3,,2,,5,4,:1,:1
D,Evra,,,,OM,,,,,,,,,,,,,,,,,,,,,,6,,,3,6,2,,,,,6
D,Bédimo,,,,OM,Bl.,,,,4,5,4,5,4,5,5,4,,,,,,,,,,,,,,,3,6,6,5,3,<
M,Alessandrini,,,,OM,,,,,,,,,,,<,5,5,,<,,,,,,,,,,,,,,,,,
M,Sarr,,,,OM,3,4,<,7,3,<,<,4,5,,5,,<,,,<,<,<,<,<,3,<,4,,,<,,<,<,,,
M,Cabella,,,,OM,4,2,7,,<,4,5,3,,,<,4,,<,4,,,<,5,3,,7,4,<,,<,<,7,7,4,<:2,<:2
M,Diarra,,,,OM,4,3,6,,,,,,5,6,5,3,,4,,,,<,<,,,,,<,,,,,,,,
M,Zambo Anguissa,,,,OM,,,<,4,4,6,6,5,,3,,4,<,<,5,6,5,6,6,3,4,6,4,<,5,5,2,6,<,<,<,4
M,Thauvin,,,,OM,4,<,6,7,5,4,6,6,7,4,6,6,5,4,4,8,7,7,4,3,3,8,3,4,5,7,3,8,8,4,4:10,4:10
M,Diaby,,,,OM,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Khaoui,,,,OM,6,4,<,<,,,<,,,,,,,,<,<,,,,<,,,,,,,,,,,,
M,Machach,,,,OM,<,,6,<,<,4,,<,,6,4,,3,,,,<,,,,,,,,,,,,,,,
M,Vainqueur,,,,OM,,,,6,4,6,7,5,5,,,,6,3,6,7,6,6,4,5,,6,,6,4,5,4,6,6,,5,6
M,Lopez,,,,OM,,<,,,,<,,,<,,7,5,6,4,5,7,8,6,5,5,4,5,5,6,,5,3,,5,3,4:1,5:1
M,Sanson,,,,OM,,,,,,,,,,,,,,,,,,,,,4,<,<,7,5,7,,7,7,4,6:1,5:1
M,Sertic,,,,OM,,,,,,,,,,,,,,,,,,,,,,,3,,,5,<,6,,4,4:(-1),5:(-1)
M,Payet,,,,OM,,,,,,,,,,,,,,,,,,,,,,,<,7,4,7,4,7,7,4,7:3,5:3
M,Ocampos,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Porsan,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Rabillard,,,,OM,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,
A,Leya Iseka,,,,OM,,<,5,6,3,,,<,<,,<,,,,,<,,,,,,,,,,,,,,,,
A,Njie,,,,OM,,,,<,<,5,6,,5,3,,4,,5,<,7,4,5,<,,,,,,,6,2,<,<,<,<:4,:4
A,Gomis,,,,OM,4,3,6,7,4,7,6,4,6,4,4,,5,3,4,6,6,6,6,4,4,8,<,6,7,,,,,,4:16,3:16
G,Lopes,,,,OL,7,5,4,3,6,5,6,7,6,5,5,5,6,5,6,,8,7,7,5,6,5,4,6,5,,7,,7,6,6,3
G,Gorgelin,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
G,Mocio,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Jallet,,,,OL,,,,,,,,,,,,,,,,,,<,6,,,,4,5,3,5,6,,8,,:1,4:1
D,Morel,,,,OL,4,,,3,6,6,4,4,3,,5,5,5,4,,,5,6,5,3,7,5,4,5,6,4,,,5,5,6,
D,Rafael,,,,OL,4,5,3,4,5,7,Bl.,,<,3,4,,5,5,7,,4,6,,5,6,5,,,,,6,,,6,5,4
D,Yanga-Mbiwa,,,,OL,6,6,3,5,5,,5,,3,,<,,5,6,5,,4,6,6,3,6,3,3,4,4,,,,7,6,4,4
D,Rybus,,,,OL,,4,2,,5,6,4,5,4,4,<,,6,4,6,,,<,6,<,,,,<,,,,,,,,
D,Diakhaby,,,,OL,,,,6,,,,,,2,5,5,4,6,7,,5,7,6,Bl.,,,,,4,5,6,,,5,5:1,:1
D,Mammana,,,,OL,,,,,,6,6,6,6,,6,6,,,,,,,,,7,6,2,5,,6,6,,5,,:1,2:1
D,Gaspar,,,,OL,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,,,,,
D,Nkoulou,,,,OL,5,6,2,,7,5,,6,,3,,,,,,,,,,,,,,,,,,,,,,
M,C. Grenier,,,,OL,<,<,<,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,
M,Ghezzal,,,,OL,,,,3,<,<,<,<,3,5,5,6,,5,7,,4,7,5,,,<,4,,3,3,<,,<,<,:2,:2
M,Ferri,,,,OL,<,<,<,5,4,,4,5,3,,,<,6,3,<,,<,,<,,<,,<,<,<,,,,5,,,5:1
M,Gonalons,,,,OL,5,6,4,3,,,,,5,5,5,6,8,7,7,,6,,7,4,6,5,3,5,4,3,,,7,6,:1,3:1
M,Tolisso,,,,OL,5,7,5,<,5,8,4,6,4,4,5,6,5,6,7,,4,6,,5,7,5,3,,,8,7,,,4,5:6,5:8
M,Fekir,,,,OL,6,5,3,,,8,6,6,,,4,4,,2,<,,3,5,6,4,6,3,4,7,4,<,6,,5,5,<:6,4:6
M,Valbuena,,,,OL,<,<,3,,,<,6,3,,,,,<,7,8,,7,8,4,4,7,3,<,Bl.,,,<,,<,5,6:7,<:7
M,Darder,,,,OL,5,5,5,4,4,7,,6,4,3,,<,<,,6,,<,,,<,,<,3,,<,,<,,5,<,5:1,:1
M,Tousart,,,,OL,,,,<,7,7,5,4,,,<,,,<,,,,8,5,7,<,,,6,4,6,7,,,,5,
M,Kemen,,,,OL,,,,,<,,4,,,,,,,,,,,,,,,,,,,,,,,,,
M,Perrin,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Del Castillo,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lacazette,,,,OL,9,8,Bl.,4,,,,,<,5,6,4,6,4,6,,4,6,7,7,8,4,5,6,6,5,7,,,5,4:23,<:24
A,Kalulu,,,,OL,,,,5,<,,,<,,,,,,,,,,,,,,,,,,,,,,,:1,:1
A,Mateta,,,,OL,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Depay,,,,OL,,,,,,,,,,,,,,,,,,,,,<,4,2,6,<,6,8,,8,2,<:5,3:5
A,Cornet,,,,OL,4,6,4,<,4,6,<,,,3,4,4,4,,<,,<,<,<,4,5,<,,5,3,<,5,,6,<,6:4/(-1),2:4/(-1)
G,Sirigu,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Areola,,,,PSG,,,,,6,6,6,6,5,5,5,,,6,5,4,4,3,,,,<,6,2,,,,,,,,
G,Trapp,,,,PSG,6,7,4,4,,,,,,,,6,7,,,,,,6,6,5,7,,,,5,6,7,5,6,,6
D,Thiago Silva,,,,PSG,,,,,,5,5,6,5,7,7,7,4,7,7,5,5,3,7,6,6,6,7,6,,,7,6,6,6,:3,:3
D,Marquinhos,,,,PSG,,,,5,7,<,5,6,6,6,5,6,,7,,3,5,4,6,5,6,6,6,,,6,7,,4,6,:1,:1
D,David Luiz,,,,PSG,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Kimpembé,,,,PSG,6,6,5,5,7,6,,,4,,,,7,,5,,,,,,,,,6,,5,,4,,,,4
D,Aurier,,,,PSG,5,6,5,,,,2,,,6,,8,4,7,,4,6,2,,,,,4,4,,3,,5,<,6,:(-1),6:(-1)
D,Maxwell,,,,PSG,,,,,8,7,5,,,5,,6,4,6,5,,,,,,5,,,5,,4,,,,4,,5
D,Kurzawa,,,,PSG,6,7,3,4,,,,6,,,5,,,,,4,6,3,5,4,,6,,,,,7,4,5,,:2,Bl.:2
D,Meunier,,,,PSG,,,<,4,7,5,,6,4,,4,,,<,6,,<,,7,6,6,7,4,,,,7,,5,,:1,6:1
D,Rimane,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,T. Motta,,,,PSG,5,5,4,5,<,6,<,7,,5,6,<,5,5,5,,5,3,5,4,5,6,5,4,,5,,,,<,,
M,Matuidi,,,,PSG,<,<,<,6,6,<,3,7,4,<,6,6,6,6,,4,5,3,7,4,5,4,5,5,,,7,5,,<,:1,6:2
M,Verratti,,,,PSG,<,<,3,6,,,,8,5,4,6,7,6,6,,,7,7,6,7,7,,,,,5,8,7,,6,:2,6:2
M,Rabiot,,,,PSG,5,6,5,,7,6,4,<,<,6,<,7,,,,,,,,<,<,5,4,<,,6,7,,5,7,:2,5:2
M,Pastore,,,,PSG,4,7,,,,6,<,,,,,,<,,,,,,,<,,,,,,<,7,6,6,8,,<
M,Di Maria,,,,PSG,6,8,5,<,7,7,3,5,,3,6,8,Bl.,,,3,4,2,,,<,<,,6,,,<,,5,5,:2,8:3
M,Augustin,,,,PSG,,,,,<,<,<,,<,,,,6,<,<,<,,<,<,,,,,,,,,,,,:1,:1
M,Nkunku,,,,PSG,,,,,,,,,,,,,,,,4,,4,5,,,,<,,,5,,,7,,:1,:1
M,Ben Arfa,,,,PSG,3,<,<,4,,,,<,<,<,<,<,4,4,6,<,<,,,<,<,,<,4,,<,<,<,<,,,
M,Krychowiak,,,,PSG,,,,6,6,,3,,4,,,,,<,5,3,5,3,<,,,,,,,,,5,,,,
M,Jesé,,,,PSG,<,,,3,4,,,,,<,<,5,<,,<,<,,,,,,,,,,,,,,,:1,:1
M,Callegari,,,,PSG,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,
M,Draxler,,,,PSG,,,,,,,,,,,,,,,,,,,,7,7,5,6,5,,3,<,<,5,6,:3,3:3
M,Ikoné,,,,PSG,,,,,,,,<,4,,,,,,5,,,,<,,,,,,,,,,,,,
A,Cavani,,,,PSG,,3,4,<,9,5,4,8,6,4,6,Bl.,,8,6,4,7,5,6,4,8,5,5,6,,4,7,7,6,5,:27,8:29
A,Bahebeck,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lucas,,,,PSG,4,6,4,5,8,6,3,6,6,4,5,3,4,4,4,3,4,<,7,5,7,4,5,<,,4,6,5,,<,:9,<:9
A,Guedes,,,,PSG,,,,,,,,,,,,,,,,,,,,,,<,<,,,,,4,,,,
A,Ongenda,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Cardinale,,,,OGCN,6,6,6,6,6,7,5,6,6,4,5,6,6,6,7,5,4,5,5,,,5,4,6,6,8,6,6,3,5,6,6
G,Pouplin,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Benitez,,,,OGCN,,,,,,,,,,,,,,,,,,,<,7,6,,,,,,,,,,,
G,Hassen,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Boscagli,,,,OGCN,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,
D,Le Marchand,,,,OGCN,,,,,,,,,,,,,,,,,,5,6,,,,,,<,<,,,,5,3,6
D,Baysse,,,,OGCN,7,7,5,5,6,7,4,6,6,,,,,,,,,,,6,,,4,6,5,6,6,7,6,,:2,:2
D,Ricardo Pereira,,,,OGCN,,4,5,6,,7,5,7,7,6,7,5,7,5,5,6,5,,,5,,<,,,,,,,,4,5:1,6:1
D,Dalbert,,,,OGCN,6,6,7,5,5,6,5,4,6,,,5,6,5,5,6,4,,,5,6,4,5,7,4,4,5,5,6,5,5,6
D,Sarr,,,,OGCN,7,5,6,5,6,6,6,4,6,5,6,4,6,5,5,6,5,5,6,4,2,4,3,,,,,,,,<:1,<:1
D,Souquet,,,,OGCN,4,,,,4,,,,,5,5,,,,,,5,4,6,6,5,7,3,5,6,7,5,5,5,4,5:1,6:1
D,Dante,,,,OGCN,,,,4,4,7,7,6,6,5,6,5,6,6,8,8,6,7,,6,6,6,4,7,6,7,7,6,3,5,4,6
D,Burner,,,,OGCN,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,
D,Bodmer,,,,OGCN,<,7,5,,6,<,6,5,,<,5,5,<,,<,,,,,,,,,,,,,,,,,
M,Koziello,,,,OGCN,6,6,7,5,,6,,,<,,<,,<,,6,<,<,<,7,5,5,4,,,5,,<,,,<,6:1,6:1
M,Seri,,,,OGCN,5,7,5,6,,7,,5,8,8,7,4,4,6,7,8,6,6,6,,,6,5,6,6,6,6,5,6,6,7:4,8:4
M,Lloris,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,P. Puel,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Walter,,,,OGCN,5,<,<,,6,,4,,7,7,,,5,4,<,6,4,4,,,4,<,,5,,,,6,4,,,<
M,Lusamba,,,,OGCN,4,<,<,,6,,,,,,<,,,,,,,,,3,,,,,,,,,,,,
M,Marcel,,,,OGCN,4,,,,,,,,,,,,,,,<,,,,<,,<,,,,,,,4,,,
M,Cyprien,,,,OGCN,<,6,6,7,<,7,6,6,7,7,8,5,6,6,6,7,7,5,6,4,6,5,5,7,5,6,6,7,5,,:8,:8
M,Eysseric,,,,OGCN,,7,5,<,<,<,6,<,<,5,<,,6,4,6,5,,,,,,5,4,6,7,5,6,6,6,6,7:3,7:3
M,Belhanda,,,,OGCN,,,,<,7,7,<,5,6,8,6,4,6,4,7,8,6,4,5,,,,<,6,4,5,4,3,,4,4:3,5:3
M,Obbadi,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,<,<,7,5,,,5,,
M,Srarfi,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,,
M,Rafetraniaina,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Bosetti,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Constant,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Honorat,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Ranieri,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Caddy,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Le Bihan,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,<,<,<,,<:2,<:2
A,Pléa,,,,OGCN,4,7,4,6,4,<,7,<,<,9,7,5,4,5,4,7,6,6,4,4,5,7,4,6,Bl.,,,,,,:11,:11
A,Donis,,,,OGCN,<,,,,<,,<,,,<,,<,<,,<,<,,,,<,,,,,7,<,3,,<,,:2,:2
A,Balotelli,,,,OGCN,,,,8,,8,,7,4,,7,4,,,,,<,7,4,,3,6,4,<,,1,,6,5,4,7:11,8:13
A,Benrahma,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Ruffier,,,,ASSE,4,5,6,6,6,8,7,8,6,6,7,6,6,7,8,5,9,,,,,,,,6,5,6,6,6,6,,5
G,Moulin,,,,ASSE,,,,,,,,,,,,,,,,,,,,7,6,6,7,7,,,,,,,,
G,Maisonnial,,,,ASSE,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,
D,Théophile-Catherine,,,,ASSE,5,<,5,6,3,,,,5,,,5,4,,4,3,4,6,6,5,4,6,6,6,6,6,4,6,5,7,,4
D,Perrin,,,,ASSE,3,6,,7,6,Bl.,,,6,7,7,6,6,<,6,5,6,,,4,5,7,6,,6,,6,6,8,6,:4,:4
D,Karamoko,,,,ASSE,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Polomat,,,,ASSE,6,,,,,,,,,,,,,,5,,<,,,5,4,,,,,,3,<,,,,
D,Malcuit,,,,ASSE,,5,5,4,6,,,6,6,6,5,,4,6,,,7,,5,5,5,6,6,,6,7,,,3,,,
D,Pierre Gabriel,,,,ASSE,,<,5,,,6,Bl.,,,,,,,,,,,2,,,,,,4,,,6,7,4,5,,7
D,M'Bengue,,,,ASSE,Bl.,,,5,,,,,6,5,5,6,3,5,,4,3,4,5,,,,,,,,,,,4,,4
D,Lacroix,,,,ASSE,,,,<,6,7,6,5,,6,5,6,5,5,,5,,5,4,,,,,5,,4,5,,,<,,
D,F. Pogba,,,,ASSE,4,6,6,6,,Bl.,,,,,,,,5,6,,6,,,,<,6,7,6,7,4,,,,,:1,4:1
M,Clément,,,,ASSE,,4,,,,,<,,4,,,,,,,,,,,,,,,,,,,,,,,
M,Corgnet,,,,ASSE,4,,,,,,,,,,,,,,,,,,,,,,,,<,,,<,<,<,,<:1
M,Hamouma,,,,ASSE,6,,,<,<,5,<,Bl.,,,,,,<,<,4,6,5,6,6,7,7,6,4,7,<,,,5,5,:7,6:6
M,Lemoine,,,,ASSE,,5,<,4,<,Bl.,,,,,,,,,,,,,,6,5,<,<,,<,,5,<,,<,,
M,Pinheiro,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Selnaes,,,,ASSE,4,,8,6,4,,5,4,,6,5,,7,<,5,4,,4,,<,5,6,<,4,,5,,,3,5,,4
M,Saivet,,,,ASSE,,,7,5,,,,,<,7,4,6,4,5,3,<,,,<,,,,7,4,5,5,3,4,6,3,:1,6:1
M,Veretout,,,,ASSE,,,<,4,4,6,6,5,5,6,6,6,5,,4,4,5,6,6,6,5,6,6,5,5,6,5,5,5,7,:3,6:3
M,Dabo,,,,ASSE,,,,,,7,4,6,,<,<,<,<,4,,3,,5,5,5,,<,,,,,,,<,,,
M,Nordin,,,,ASSE,,,,,,,6,5,<,,,4,<,5,<,<,,,<,,<,<,,,,,,,,,:1,:1
M,Rocha Santos,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
M,Maïga,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
M,Pajot,,,,ASSE,5,,6,,6,6,6,6,5,<,,5,,6,<,,6,<,5,,,,6,,6,<,<,Bl.,,,:1,:1
A,Monnet-Paquet,,,,ASSE,<,6,5,,6,7,6,7,6,6,4,<,<,,4,<,<,<,5,5,5,6,8,5,6,6,6,6,5,6,:3,6:4
A,Bamba,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Maupay,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Beric,,,,ASSE,4,<,4,<,4,,7,5,,,4,,,,,,<,,,,,,,,,<,3,5,6,5,:4,5:4
A,Söderlund,,,,ASSE,<,,,,<,,,4,3,4,<,<,4,,2,,5,,4,,,,7,<,,,,,<,,:1,:1
