poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28*,J29,J30*,J31*
G,Pelé,,,,OM,6,5,7,4,5,4,5,6,6,7,6,4,6,4,6,7,6,6,6,4,5,6,5,6,5,6,4,5,7,6,6
G,Samba,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Sparagna,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Doria,,,,OM,5,4,5,4,5,,6,5,6,5,5,4,,,,,<,,,<,5,<,4,6,,<,,<:1,,<:1,:1
D,Aloé,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Andonian,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Tuiloma,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Rekik,,,,OM,5,3,6,4,,4,,,,<,,,5,3,,,,,6,3,,,,,,,,,,,
D,Rolando,,,,OM,,,,,,,,<,,5,5,4,7,3,6,6,5,6,6,5,3,7,5,6,4,6,2,8:4,6,7:4,4:4
D,Sakai,,,,OM,5,4,7,3,5,Bl.,7,4,6,5,,5,6,4,6,6,5,6,4,3,4,5,4,6,5,,3,6,6,5,6
D,Hubocan,,,,OM,6,5,6,4,6,2,<,,<,,,,,,5,6,5,5,,,,,,,,,,,,,
D,Fanni,,,,OM,,,,,,,6,5,7,6,5,4,6,3,5,6,5,7,5,3,4,6,6,6,4,,3,:1,6,5:1,:1
D,Evra,,,,OM,,,,,,,,,,,,,,,,,,,,,,5,,,3,5,4,,,,
D,Bédimo,,,,OM,Bl.,,,,4,4,4,5,6,5,5,4,,,,,,,,,,,,,,,4,6,6,5,5
M,Alessandrini,,,,OM,,,,,,,,,,,<,4,5,,<,,,,,,<,,,,,,,,,,
M,Sarr,,,,OM,5,4,<,5,4,<,<,4,6,,4,,<,,,<,<,<,<,<,4,<,4,,<,<,,<,<,,
M,Cabella,,,,OM,5,4,8,,<,5,5,5,,,<,5,,<,4,,,<,6,3,<,8,4,<,,<,<,6:1,7,5:2,<:2
M,Diarra,,,,OM,5,5,7,,,,,,7,5,6,5,,3,,,,<,<,,,,,<,,,,,,,
M,Zambo Anguissa,,,,OM,,,<,5,6,4,5,5,,4,,5,<,<,5,7,5,6,6,3,5,6,5,<,4,5,4,6,<,<,<
M,Thauvin,,,,OM,4,<,6,6,4,4,6,6,6,4,6,5,4,4,5,7,7,7,6,3,4,7,4,5,4,7,3,8:8,8,5:10,4:10
M,Diaby,,,,OM,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Khaoui,,,,OM,5,4,<,<,,,<,,,,,,,,<,<,,,,<,<,,,,,,,,,,
M,Machach,,,,OM,<,,5,<,<,4,,<,,5,5,,5,,,,<,,,,,,,,,,,,,,
M,Vainqueur,,,,OM,,,,4,7,5,7,6,6,,,,6,4,7,7,6,7,6,5,,7,,6,6,6,5,6,7,,6
M,Lopez,,,,OM,,<,,,,<,,,<,,5,5,7,3,5,5,7,6,5,5,4,5,5,6,,5,5,:1,6,5:1,5:1
M,Sanson,,,,OM,,,,,,,,,,,,,,,,,,,,,4,<,<,7,6,6,,6:1,6,5:1,5:1
M,Sertic,,,,OM,,,,,,,,,,,,,,,,,,,,,,,6,,,7,<,6,,5,5:(-1)
M,Payet,,,,OM,,,,,,,,,,,,,,,,,,,,,,,<,7,5,6,4,7:2,7,5:2,8:3
M,Ocampos,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Porsan,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Rabillard,,,,OM,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,
A,Leya Iseka,,,,OM,,<,4,6,5,,,<,<,,<,,,,,<,,,,,,,,,,,,,,,
A,Njie,,,,OM,,,,<,<,6,6,,5,4,,3,,4,<,7,5,5,<,,,,,,,6,4,<:4,<,<:4,<:4
A,Gomis,,,,OM,5,4,7,5,4,7,6,4,6,4,4,,6,3,4,7,6,6,6,3,4,9,<,6,7,,,:16,,:16,4:16
G,Lopes,,,,OL,7,6,4,4,6,5,5,7,7,5,5,5,7,6,6,,8,5,6,5,6,4,5,6,4,,6,5,6,5,6
G,Gorgelin,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
G,Mocio,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Jallet,,,,OL,,,,,,,,,,,,,,,,,,<,7,,,,5,7,4,6,7,,8,:1,:1
D,Morel,,,,OL,6,,,3,4,6,5,5,4,,5,6,5,5,,,6,6,5,4,6,5,4,6,5,5,,4,6,4,7
D,Rafael,,,,OL,5,7,3,4,6,8,Bl.,,<,4,4,,5,6,7,,5,6,,4,6,4,,,,,7,6,,4,4
D,Yanga-Mbiwa,,,,OL,5,6,4,4,5,,5,,4,,<,,6,5,6,,5,7,6,5,6,5,4,6,4,,,,6,4,5
D,Rybus,,,,OL,,5,4,,5,6,5,5,3,4,<,,5,4,6,,,<,<,<,,,,<,,,,,,,
D,Diakhaby,,,,OL,,,,4,,,,,,4,6,5,5,5,8,,6,6,6,Bl.,,,,,5,6,7,5:1,,5:1,6:1
D,Mammana,,,,OL,,,,,,7,5,6,4,,6,6,,,,,,,,,5,6,4,6,,4,6,7:1,7,:1,:1
D,Gaspar,,,,OL,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,
D,Nkoulou,,,,OL,6,7,3,,6,6,,6,,4,,,,,,,,,,,,,,,,,,,,,
M,C. Grenier,,,,OL,<,<,<,,,,,,,,,<,,,,,,,,,,,,,,,,,,,
M,Ghezzal,,,,OL,,,,4,<,<,<,<,5,6,5,7,,4,5,,6,7,4,,,<,3,,4,5,<,:2,<,<:2,:2
M,Ferri,,,,OL,<,<,<,4,4,,5,6,4,,,<,6,5,<,,<,,<,,<,,<,<,<,,,<,7,,
M,Gonalons,,,,OL,6,7,5,4,,,,,6,6,6,7,8,5,8,,6,,7,6,7,5,5,8,6,5,,5:1,7,6:1,:1
M,Tolisso,,,,OL,5,7,7,<,5,8,5,6,4,5,7,6,6,5,8,,6,5,,4,7,5,5,,,8,8,6:6,,5:6,5:6
M,Fekir,,,,OL,6,6,4,,,8,5,6,,,4,6,,4,<,,4,5,7,4,5,5,4,7,5,<,6,4:6,4,4:6,<:6
M,Valbuena,,,,OL,<,<,3,,,<,6,4,,<,,,<,6,8,,7,7,5,5,7,4,<,Bl.,,,<,<:7,<,5:7,6:7
M,Darder,,,,OL,5,5,6,4,5,6,,7,5,4,,<,<,,8,,<,,,<,,<,4,,<,,<,:1,5,<:1,5:1
M,Tousart,,,,OL,,,,<,5,6,5,6,,,<,,,<,,,,6,6,5,<,,,6,6,6,7,5,,,5
M,Kemen,,,,OL,,,,,<,,5,,,,,,,,,,,,,,,,,,,,,,,,
M,Perrin,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Del Castillo,,,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lacazette,,,,OL,9,7,Bl.,4,,,,,<,6,7,6,6,4,6,,5,6,7,7,8,5,4,7,6,6,8,4:22,,6:23,3:23
A,Kalulu,,,,OL,,,,6,<,,,<,,<,,,,,,,,,,,,,,,,,,:1,,:1,:1
A,Mateta,,,,OL,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,
A,Depay,,,,OL,,,,,,,,,,,,,,,,,,,,,<,4,3,7,<,7,8,4:3,8,3:5,<:5
A,Cornet,,,,OL,4,6,4,<,4,7,<,,,4,4,5,6,,<,,<,<,<,4,5,<,,6,4,<,6,<:2/(-1),7,<:3/(-1),7:4/(-1)
G,Sirigu,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Areola,,,,PSG,,,,,5,7,5,6,6,5,6,,,5,6,3,4,4,,,,<,5,4,,,,,,,
G,Trapp,,,,PSG,6,7,4,5,,,,,,,,6,6,,,,,,6,6,5,6,,,7,6,5,6,5,5,
D,Thiago Silva,,,,PSG,,,,,,6,6,6,6,7,6,7,6,6,8,3,6,4,8,6,6,6,8,6,,,7,7:3,6,6:3,:3
D,Marquinhos,,,,PSG,,,,5,7,<,5,6,5,6,6,6,,6,,4,5,5,6,6,6,5,6,,7,5,7,:1,5,6:1,:1
D,David Luiz,,,,PSG,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Kimpembé,,,,PSG,6,7,4,5,6,7,,,5,,,,7,,6,,,,,,,,,6,7,5,,6,,,
D,Aurier,,,,PSG,5,7,6,,,,3,,,6,,6,6,6,,3,6,4,,,,,6,6,,6,,7:(-1),<,5:(-1),:(-1)
D,Maxwell,,,,PSG,,,,,8,7,5,,,5,,7,5,5,6,,,,,,6,,,6,,5,,,,6,
D,Kurzawa,,,,PSG,6,8,4,5,,,,7,,,5,,,,,4,5,5,6,6,,6,5,,6,,7,7:2,6,:2,:2
D,Meunier,,,,PSG,,,<,6,8,6,,6,5,,7,,,<,6,,<,,8,6,7,7,,,5,,7,:1,6,:1,:1
D,Rimane,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,T. Motta,,,,PSG,5,7,5,7,<,7,<,7,,6,4,<,7,6,6,,5,5,7,6,5,5,7,7,7,6,,,,<,
M,Matuidi,,,,PSG,<,<,<,6,6,<,4,6,5,<,5,5,7,4,,4,4,5,7,6,5,5,6,6,,,8,6:1,,<:1,:1
M,Verratti,,,,PSG,<,<,4,6,,,,6,6,5,5,8,5,7,,,6,6,7,7,6,,,,7,<,7,6:2,,5:2,:2
M,Rabiot,,,,PSG,6,6,5,,7,6,5,<,<,6,<,8,,,,,,,,<,<,5,5,<,6,6,6,:1,6,7:2,:2
M,Pastore,,,,PSG,5,7,,,,5,<,,,,,,<,,,,,,,,,,,,,<,6,6,5,8,
M,Di Maria,,,,PSG,6,8,4,<,6,6,5,7,,6,7,7,Bl.,,,4,6,4,,<,<,<,,7,7,,<,:2,7,6:2,:2
M,Augustin,,,,PSG,,,,,<,<,<,,<,,,,5,<,<,<,,<,<,,,,,,,,,:1,,:1,:1
M,Nkunku,,,,PSG,,,,,,,,,,,,,,,,3,,4,5,,,,<,,<,4,,,6,:1,:1
M,Ben Arfa,,,,PSG,4,<,<,5,,,,<,<,<,<,<,5,4,7,<,<,,,<,<,,<,5,<,<,<,<,<,,
M,Krychowiak,,,,PSG,,,,5,7,,6,,7,,,,,<,6,5,5,5,<,,,,,,,,,6,,,
M,Jesé,,,,PSG,<,,,4,<,,,,,<,<,5,<,,<,<,,,,,,,,,,,,:1,,:1,:1
M,Callegari,,,,PSG,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,
M,Draxler,,,,PSG,,,,,,,,,,,,,,,,,,,,7,5,5,5,5,<,4,<,<:2,6,7:3,:3
M,Ikoné,,,,PSG,,,,,,,,<,4,,,,,,5,,,,<,,,,,,,,,,,,
A,Cavani,,,,PSG,,4,5,<,9,6,3,8,6,3,6,7,,7,6,3,7,6,6,4,8,6,7,7,8,4,6,6:27,4,5:27,:27
A,Bahebeck,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lucas,,,,PSG,4,7,5,6,8,6,4,6,7,5,6,5,5,5,7,3,5,<,8,4,7,5,7,<,6,6,7,5:9,,<:9,:9
A,Guedes,,,,PSG,,,,,,,,,,,,,,,,,,,,,,<,<,,,,,4,,,
A,Ongenda,,,,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Cardinale,,,,OGCN,6,6,5,5,6,8,6,5,6,4,5,7,6,5,7,6,6,6,6,,,6,4,6,5,7,5,6,3,5,6
G,Pouplin,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Benitez,,,,OGCN,,,,,,,,,,,,,,,,,,,<,6,5,,,,,,,,,,
G,Hassen,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Boscagli,,,,OGCN,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,
D,Le Marchand,,,,OGCN,,,,,,,,,,,,,,,,,,5,5,,,,,,<,<,,,,6,5
D,Baysse,,,,OGCN,6,6,6,5,7,7,6,5,7,,,,,,,,,,,5,,<,4,6,5,5,5,6:2,5,:2,:2
D,Ricardo Pereira,,,,OGCN,,5,4,7,,8,5,7,6,5,7,5,7,5,5,6,5,,,4,,,,,,,,:1,,5:1,5:1
D,Dalbert,,,,OGCN,5,5,5,4,5,6,5,5,5,,,4,6,5,5,6,6,,,5,6,5,4,7,4,6,5,6,5,5,5
D,Sarr,,,,OGCN,7,5,5,5,5,5,5,5,7,5,6,5,6,5,6,6,5,6,6,4,4,5,4,,,,,:1,,:1,<:1
D,Souquet,,,,OGCN,4,,,,5,,,,,5,5,,,,,,5,5,6,5,6,7,3,6,4,7,7,5:1,4,4:1,5:1
D,Dante,,,,OGCN,,,,5,5,6,6,6,6,5,5,5,6,6,7,8,5,6,,5,5,5,4,6,5,6,6,6,6,6,4
D,Burner,,,,OGCN,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,
D,Bodmer,,,,OGCN,<,5,5,,5,<,6,5,,<,5,4,<,,<,,,,,,,,,,,,,,,,
M,Koziello,,,,OGCN,5,5,7,5,,6,,,<,,<,,<,,6,<,<,<,6,6,5,5,,,5,,<,:1,,<:1,6:1
M,Seri,,,,OGCN,6,7,7,6,,7,,5,7,8,8,5,5,6,6,7,6,5,5,,,6,4,6,6,6,6,5:3,6,6:4,5:4
M,Lloris,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,P. Puel,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Walter,,,,OGCN,5,<,<,,6,,5,,6,7,,,6,5,<,5,5,5,,,5,<,,5,,,,5,5,,
M,Lusamba,,,,OGCN,5,<,<,,4,,,,,,<,,,,,,,,,4,,,,,,,,,,,
M,Marcel,,,,OGCN,4,,,,,,,,,,,,,,,<,,,,<,,<,,,,,,,4,,
M,Cyprien,,,,OGCN,<,5,6,8,<,7,6,6,7,8,8,5,7,6,6,6,6,6,7,5,7,7,3,7,5,6,6,7:8,5,:8,:8
M,Eysseric,,,,OGCN,,6,5,<,<,<,6,<,<,5,<,,7,5,6,5,,,,,,6,3,6,7,6,6,7:2,4,4:2,6:3
M,Belhanda,,,,OGCN,,,,<,6,6,<,5,6,8,6,4,4,4,7,7,4,5,5,,,,<,5,4,5,4,5:3,,4:3,4:3
M,Obbadi,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,<,<,6,6,,,5,
M,Srarfi,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,
M,Rafetraniaina,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Bosetti,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Constant,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Honorat,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Ranieri,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Caddy,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Le Bihan,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,<,<:2,<,<:2,<:2
A,Pléa,,,,OGCN,4,7,4,4,4,<,7,<,<,8,7,4,3,6,4,7,6,6,4,4,5,7,4,3,Bl.,,,:11,,:11,:11
A,Donis,,,,OGCN,<,,,,<,,<,,,<,,<,<,,<,<,,,,<,,,,,6,<,4,:1,<,:2,:2
A,Balotelli,,,,OGCN,,,,8,,8,,6,5,,7,3,,,,,<,7,4,,4,7,4,<,,3,,5:9,6,5:10,6:11
A,Benrahma,,,,OGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Ruffier,,,,ASSE,4,6,6,6,7,8,5,6,5,6,6,6,6,7,7,5,8,,,,,,,,6,5,6,6,4,6,
G,Moulin,,,,ASSE,,,,,,,,,,,,,,,,,,,,6,6,6,7,6,,,,,,,
G,Maisonnial,,,,ASSE,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,
D,Théophile-Catherine,,,,ASSE,2,<,5,5,5,,,,5,,,5,5,,5,4,6,4,6,6,6,6,5,5,6,5,5,6,5,7,
D,Perrin,,,,ASSE,4,5,,6,7,Bl.,,,6,7,7,5,6,<,6,5,7,,,5,6,6,7,,7,,5,6:3,8,5:4,:4
D,Karamoko,,,,ASSE,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Polomat,,,,ASSE,5,,,,,,,,,,,,,,6,,<,,,5,5,,,,,,5,<,,,
D,Malcuit,,,,ASSE,,7,6,6,5,<,,4,6,6,5,,5,6,,,7,,5,6,4,6,6,,5,5,,,3,,
D,Pierre Gabriel,,,,ASSE,,<,5,,,6,Bl.,,,,,,,,,,,4,,,,,,4,,,5,7,6,7,
D,M'Bengue,,,,ASSE,5,,,5,,,,,6,5,5,5,4,5,,4,5,4,6,,,,,,,,,,,5,
D,Lacroix,,,,ASSE,,,,<,6,5,5,3,,6,6,5,5,5,,4,,5,6,,,,,5,,4,5,,,<,
D,F. Pogba,,,,ASSE,4,6,6,5,,Bl.,,,,,,,,7,6,,7,,,,<,8,7,5,6,3,,:1,,:1,:1
M,Clément,,,,ASSE,,6,,,,,<,,5,,,,,,,,,,,,,,,,,,,,,,
M,Corgnet,,,,ASSE,3,,,,,,,,,,,,,,,,,,,,,,,,<,,,<,<,<,
M,Hamouma,,,,ASSE,7,,,<,<,5,<,Bl.,,,,,,<,<,3,7,4,6,6,5,7,7,4,6,<,,:7,4,6:7,:6
M,Lemoine,,,,ASSE,,5,<,5,<,Bl.,,,,,,,,,,,,,,5,6,<,<,,<,,5,<,,<,
M,Pinheiro,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Selnaes,,,,ASSE,4,,6,6,6,,6,4,,5,5,,5,<,6,4,,5,,<,5,6,<,5,,5,,,4,6,
M,Saivet,,,,ASSE,,,5,4,,,,,<,7,5,5,5,6,4,<,,,<,,,,6,4,6,5,4,5:1,4,5:1,:1
M,Veretout,,,,ASSE,,,<,5,5,5,5,4,6,7,7,6,5,,5,4,5,6,6,5,5,6,6,5,7,4,5,6:2,6,7:3,:3
M,Dabo,,,,ASSE,,,,,,6,6,4,,<,<,<,<,5,,4,,4,5,4,,<,,,,,,,<,,
M,Nordin,,,,ASSE,,,,,,,6,4,<,,,5,<,6,<,<,,,<,,<,<,,,,,,:1,,:1,:1
M,Rocha Santos,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
M,Maïga,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
M,Pajot,,,,ASSE,4,,5,,6,5,6,5,5,<,,5,,6,<,,5,<,6,,,,6,,7,<,<,5:1,,:1,:1
A,Monnet-Paquet,,,,ASSE,<,7,5,,6,6,6,4,4,6,4,<,<,,4,<,<,<,4,5,5,7,6,5,7,6,4,5:3,4,6:3,:4
A,Bamba,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Maupay,,,,ASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Beric,,,,ASSE,4,<,5,<,3,,6,4,,,4,,,,,,<,,,,,,,,,<,4,4:3,6,4:4,:4
A,Söderlund,,,,ASSE,<,,,,<,,,4,4,5,<,<,4,,4,,4,,5,,,,6,<,,,,:1,<,:1,:1
